Location	Polarity
Arizona	-0.04180520361760115
California	-0.04116995470219371
Colorado	-0.048414720212325194
Virginia	-0.036185394312141766
Florida	-0.03370822965856609
Georgia	-0.02702249517991396
Illinois	-0.037240895445790234
Massachusetts	-0.02974211915275245
Michigan	-0.05574257693115145
Minnesota	-0.03745398772103503
Missouri	-0.06955447844696905
New York	-0.048431153507576846
Ohio	-0.051697094719105365
Oregon	-0.04855324811285362
Pennsylvania	-0.049966209755246536
Texas	-0.06296754719262036
Washington	-0.06280808513602913
